學校名稱,正式修讀學位外籍學生人數,正式修讀學位僑生(含港澳)人數,正式修讀學位陸生人數,正式修讀學位人數總計
國立臺灣大學,1214,1666,373,3253
國立成功大學,1064,901,152,2117
銘傳大學,1111,774,149,2034
國立清華大學,910,577,239,1726
淡江大學,718,784,198,1700
國立臺灣師範大學,595,846,139,1580
義守大學,843,581,34,1458
國立陽明交通大學,719,560,171,1450
國立臺灣科技大學,1018,345,86,1449
國立政治大學,472,673,295,1440
明新科技大學,1245,35,0,1280
龍華科技大學,810,435,1,1246
逢甲大學,551,530,150,1231
中原大學,464,528,120,1112
輔仁大學,280,551,276,1107
正修科技大學,254,812,1,1067
中國文化大學,427,494,145,1066
東海大學,495,368,150,1013
高苑科技大學,872,110,0,982
國立臺北科技大學,528,357,80,965
醒吾科技大學,739,174,0,913
國立東華大學,470,386,19,875
國立中興大學,416,383,33,832
健行科技大學,761,60,0,821
國立臺灣師大僑生先修部,0,783,0,783
國立中央大學,510,190,72,772
朝陽科技大學,578,146,44,768
國立中山大學,388,305,53,746
國立高雄科技大學,440,287,15,742
東南科技大學,437,300,1,738
實踐大學,235,383,87,705
崑山科技大學,526,162,9,697
臺北醫學大學,401,245,18,664
靜宜大學,456,133,72,661
世新大學,179,349,126,654
黎明技術學院,508,144,0,652
樹德科技大學,239,335,32,606
萬能科技大學,413,191,1,605
國立臺灣海洋大學,121,471,12,604
景文科技大學,433,158,7,598
國立暨南國際大學,90,496,10,596
元智大學,430,77,66,573
德明財經科技大學,545,20,0,565
開南大學,503,59,0,562
東吳大學,101,320,96,517
國立屏東科技大學,281,217,0,498
中國醫藥大學,163,317,13,493
中華大學,439,22,11,472
國立臺北大學,71,367,32,470
國立雲林科技大學,153,230,56,439
弘光科技大學,114,312,2,428
國立勤益科技大學,359,54,8,421
南臺科技大學,279,116,22,417
亞洲大學,243,121,38,402
大葉大學,193,182,14,389
吳鳳科技大學,173,213,0,386
文藻外語大學,274,87,25,386
明道大學,252,114,5,371
國立中正大學,147,201,18,366
高雄醫學大學,117,230,11,358
國立高雄餐旅大學,182,170,4,356
長榮大學,173,176,1,350
中華醫事科技大學,326,12,0,338
長庚大學,132,171,32,335
元培醫事科技大學,305,16,0,321
臺北城市科技大學,198,111,0,309
國立彰化師範大學,58,226,23,307
國立嘉義大學,57,245,2,304
國立臺灣藝術大學,68,157,69,294
南華大學,252,36,1,289
致理科技大學,232,52,2,286
中國科技大學,199,54,17,270
慈濟大學,206,54,6,266
南開科技大學,204,60,0,264
聖約翰科技大學,200,53,5,258
環球科技大學,213,45,0,258
經國管理暨健康學院,207,51,0,258
國立高雄大學,67,180,5,252
中山醫學大學,10,225,16,251
國立臺北教育大學,93,145,8,246
輔英科技大學,101,137,0,238
國立臺中科技大學,24,194,10,228
育達科技大學,220,3,0,223
國立臺北商業大學,43,163,13,219
大仁科技大學,8,210,0,218
國立臺北藝術大學,62,108,42,212
國立臺中教育大學,65,138,6,209
建國科技大學,196,10,0,206
臺北市立大學,32,153,19,204
真理大學,98,94,0,192
玄奘大學,66,122,4,192
台灣首府大學,128,51,0,179
慈濟科技大學,147,31,0,178
國立屏東大學,64,98,13,175
佛光大學,73,97,4,174
國立臺北護理健康大學,49,122,0,171
國立高雄師範大學,43,104,23,170
崇右影藝科技大學,160,9,0,169
台北海洋科技大學,139,26,0,165
國立虎尾科技大學,117,39,6,162
國立臺南大學,49,103,10,162
國立金門大學,25,90,47,162
嘉南藥理大學,92,63,0,155
華夏科技大學,130,16,0,146
東方設計大學,139,4,1,144
修平科技大學,135,5,0,140
僑光科技大學,114,17,0,131
國立宜蘭大學,27,102,1,130
中華科技大學,108,12,0,120
國防醫學院,0,118,0,118
明志科技大學,94,14,4,112
宏國德霖科技大學,96,14,0,110
大同大學,16,55,38,109
國立臺灣體育運動大學,24,81,1,106
台南應用科技大學,37,60,5,102
國立體育大學,15,60,21,96
遠東科技大學,60,23,0,83
嶺東科技大學,49,22,11,82
國立臺南藝術大學,18,46,12,76
華梵大學,24,44,5,73
中州科技大學,66,1,0,67
國立聯合大學,9,46,8,63
國立臺東大學,19,36,2,57
法鼓文理學院,46,8,1,55
中臺科技大學,26,15,1,42
長庚科技大學,0,38,0,38
康寧大學,21,2,0,23
中信金融管理學院,19,0,1,20
大同技術學院,19,1,0,20
國立澎湖科技大學,12,7,0,19
美和科技大學,14,3,0,17
馬偕醫學院,0,14,0,14
和春技術學院,12,0,0,12
敏實科技大學,9,2,0,11
國立臺灣戲曲學院,0,3,6,9
台灣神學研究學院,6,2,0,8
一貫道崇德學院,5,3,0,8
亞東科技大學,4,1,0,5
南亞技術學院,4,0,0,4
國立臺南護理專科學校,0,3,0,3
臺北基督學院,1,2,0,3
一貫道天皇學院,3,0,0,3
樹人醫護管理專科學校,2,0,0,2
慈惠醫護管理專科學校,0,2,0,2
耕莘健康管理專科學校,1,0,0,1
敏惠醫護管理專科學校,1,0,0,1
育英醫護管理專科學校,0,1,0,1
基督教台灣浸會神學院,0,1,0,1
